,address,bedrooms_x,list_url,price,sqft,zipcode,price/sqft,neighborhood,sub_area,area,bedrooms_y,median,mean,occ_yr%,revpar,yearly_revenue,yearly_cost,Expected_profit,latitude,longitude
0,"320 E 49th St APT 37, New York, NY 10017 ",2,http://www.zillow.com/homedetails/320-E-49th-St-APT-37-New-York-NY-10017/2101445163_zpid/,2350,577,10017,4.07,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,14100,8913,40.753604,-73.96804
1,"226 E 29th St APT 2D, New York, NY 10016 ",2,http://www.zillow.com/homedetails/226-E-29th-St-APT-2D-New-York-NY-10016/2106894119_zpid/,2350,560,10016,4.2,Kips Bay,Midtown,Manhattan,1,115.0,110.560185185,50.45,56,19827,14100,5727,40.741927,-73.979094
2,"226 E 29th St APT 2D, New York, NY 10016 ",2,http://www.zillow.com/homedetails/226-E-29th-St-APT-2D-New-York-NY-10016/2106894119_zpid/,2350,560,10016,4.2,Kips Bay,Midtown,Manhattan,1,115.0,110.560185185,50.45,56,19827,14100,5727,40.741927,-73.979094
3,"300 W 49th St APT 502, New York, NY 10019 ",2,http://www.zillow.com/homedetails/300-W-49th-St-APT-502-New-York-NY-10019/2104500605_zpid/,2600,658,10019,3.95,Hell's Kitchen,Midtown,Manhattan,1,109.0,108.727670206,55.35,60,21243,15600,5643,40.761784,-73.987099
4,"11 Allen St APT 4R, New York, NY 10002 ",2,http://www.zillow.com/homedetails/11-Allen-St-APT-4R-New-York-NY-10002/2104898424_zpid/,2395,561,10002,4.27,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14370,5103,40.714942,-73.993
5,"11 Allen St APT 4R, New York, NY 10002 ",2,http://www.zillow.com/homedetails/11-Allen-St-APT-4R-New-York-NY-10002/2104898424_zpid/,2395,561,10002,4.27,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14370,5103,40.714942,-73.993
6,"11 Allen St APT 4R, New York, NY 10002 ",2,http://www.zillow.com/homedetails/11-Allen-St-APT-4R-New-York-NY-10002/2104898424_zpid/,2395,561,10002,4.27,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14370,5103,40.714942,-73.993
7,"301 E 53rd St # 1G, New York, NY 10022 ",2,http://www.zillow.com/homedetails/301-E-53rd-St-1G-New-York-NY-10022/2096231102_zpid/,2995,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,17970,5043,40.756712,-73.966796
8,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
9,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
10,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
11,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
12,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
13,"400 E 54th St APT 23D, New York, NY 10022 ",2,http://www.zillow.com/homedetails/400-E-54th-St-APT-23D-New-York-NY-10022/31532775_zpid/,3000,656,10022,4.57,Midtown,Midtown,Manhattan,1,125.0,115.260869565,56.66,65,23013,18000,5013,40.756114,-73.964141
14,"73 Monroe St APT 18, New York, NY 10002 ",2,http://www.zillow.com/homedetails/73-Monroe-St-APT-18-New-York-NY-10002/2096218917_zpid/,2459,557,10002,4.41,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14754,4719,40.711941,-73.992742
15,"73 Monroe St APT 18, New York, NY 10002 ",2,http://www.zillow.com/homedetails/73-Monroe-St-APT-18-New-York-NY-10002/2096218917_zpid/,2459,557,10002,4.41,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14754,4719,40.711941,-73.992742
16,"73 Monroe St APT 18, New York, NY 10002 ",2,http://www.zillow.com/homedetails/73-Monroe-St-APT-18-New-York-NY-10002/2096218917_zpid/,2459,557,10002,4.41,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14754,4719,40.711941,-73.992742
17,"73 Monroe St APT 18, New York, NY 10002 ",2,http://www.zillow.com/homedetails/73-Monroe-St-APT-18-New-York-NY-10002/2096218917_zpid/,2459,557,10002,4.41,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14754,4719,40.711941,-73.992742
18,"73 Monroe St APT 18, New York, NY 10002 ",2,http://www.zillow.com/homedetails/73-Monroe-St-APT-18-New-York-NY-10002/2096218917_zpid/,2459,557,10002,4.41,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,14754,4719,40.711941,-73.992742
19,"206 W 148th St APT 6G, New York, NY 10039 ",2,http://www.zillow.com/homedetails/206-W-148th-St-APT-6G-New-York-NY-10039/2096192264_zpid/,1941,706,10039,2.75,Harlem,Upper Manhattan,Manhattan,1,85.0,84.5704142012,53.19,45,15932,11646,4286,40.823832,-73.938589
20,"11 Allen St APT 3F, New York, NY 10002 ",2,http://www.zillow.com/homedetails/11-Allen-St-APT-3F-New-York-NY-10002/2101655166_zpid/,2550,500,10002,5.1,Lower East Side,Lower Manhattan,Manhattan,1,100.0,99.4213444213,55.72,55,19473,15300,4173,40.714942,-73.993
