Neighborhood,Area,Walk_Score_Link,HomeAway_Link,Zillow_Links,new_zillow_links,Streeteasy
Central Park South,Midtown,https://www.walkscore.com/NY/New_York/Theater_District,https://www.homeaway.com/results/new-york/central-park-south/region:27272/,http://www.zillow.com/Central-Park-S-Central-Park-New-York-NY-10019/rentals/,http://www.zillow.com/Central-Park-S-Central-Park-New-York-NY-10019/rentals/90_days/,http://streeteasy.com/for-rent/central-park-south
Tribeca,Lower Manhattan,https://www.walkscore.com/NY/New_York/Tribeca,https://www.homeaway.com/results/new-york/tribeca/region:6237/,http://www.zillow.com/Tribeca-New-York-NY/rentals/,http://www.zillow.com/Tribeca-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/tribeca
Nolita,Lower Manhattan,https://www.walkscore.com/NY/New_York/NoLita,https://www.homeaway.com/results/new-york/nolita/region:22548/,http://www.zillow.com/SoHo-New-York-NY/rentals/,http://www.zillow.com/SoHo-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/nolita
SoHo,Lower Manhattan,https://www.walkscore.com/NY/New_York/SoHo,https://www.homeaway.com/results/new-york/soho/region:22550/,http://www.zillow.com/SoHo-New-York-NY/rentals/,http://www.zillow.com/SoHo-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/soho
Flatiron,Lower Manhattan,https://www.walkscore.com/NY/New_York/Flatiron_District,https://www.homeaway.com/results/new-york/flatiron-district/region:61597,http://www.zillow.com/Flatiron-District-New-York-NY/rentals/,http://www.zillow.com/Flatiron-District-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/flatiron
West Village,Lower Manhattan,https://www.walkscore.com/NY/New_York/West_Village,https://www.homeaway.com/results/new-york/west-village/region:26015/,http://www.zillow.com/West-Village-New-York-NY/rentals/,http://www.zillow.com/West-Village-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/west-village
West Chelsea,Lower Manhattan,https://www.walkscore.com/NY/New_York/Chelsea,https://www.homeaway.com/results/new-york/chelsea/region:5234/,http://www.zillow.com/Chelsea-New-York-NY/rentals/,http://www.zillow.com/Chelsea-New-York-NY/rentals/90_days/,
Midtown,Midtown,https://www.walkscore.com/NY/New_York/Theater_District,https://www.homeaway.com/results/new-york/midtown-manhattan/region:5779/,http://www.zillow.com/Midtown-New-York-NY/rentals/,http://www.zillow.com/Midtown-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/midtown
Chelsea,Lower Manhattan,https://www.walkscore.com/NY/New_York/Chelsea,https://www.homeaway.com/results/new-york/chelsea/region:5234/,http://www.zillow.com/Chelsea-New-York-NY/rentals/,http://www.zillow.com/Chelsea-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/chelsea
Greenwich Village,Lower Manhattan,https://www.walkscore.com/NY/New_York/Greenwich_Village,https://www.homeaway.com/results/new-york/greenwich-village/region:5470/,http://www.zillow.com/Greenwich-Village-New-York-NY/rentals/,http://www.zillow.com/Greenwich-Village-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/greenwich-village
