,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Dallas, TX 75240 (Far North area)","Enaxis Consulting, LP",731b92d3dcad54a2,Analytics Data Scientist,,,,2 days,2016-10-16 00:37:13.486724
1,"Plano, TX",shrikon,e1a967108222d0c5,Data Scientist,,,,2 days,2016-10-16 00:37:13.486724
2,"Dallas, TX",CareSource,26e40f900137e6b1,Research and Data Analyst,,42.6,69,1 day,2016-10-16 00:37:13.486724
3,"Dallas-Fort Worth, TX",Oscar Technology,96463e7ac0f61c4f,Data Science Director,"$180,000 a year",,,16 days,2016-10-16 00:37:13.486724
4,"Dallas, TX",Atos IT Services and Solutions Inc,6227d09b9289fd97,Data Scientist,,,,12 days,2016-10-16 00:37:13.486724
5,"Dallas, TX",Markit Financial Info Service,e23204a1bc96498b,"Associate, Entry Level Quantitative Analyst",,,,5 days,2016-10-16 00:37:13.486724
6,"Irving, TX",latasoftek solutions llc,3872eab8a1e19e8f,Data Scientist,,,,22 days,2016-10-16 00:37:13.486724
7,"Irving, TX 75039",Exeter Finance Corporation,4b562607cffa2061,Statistical Programmer,,42.0,107,3 days,2016-10-16 00:37:13.486724
8,"Dallas, TX",Bank of America,38f262b8279a59bd,"Operations Research Analyst II - Dallas, TX",,44.4,14228,7 days,2016-10-16 00:37:13.486724
9,"Dallas, TX",Atos,8bb084dd704b3d76,Sr. Data Scientist,,42.0,313,10 days,2016-10-16 00:37:13.486724
10,"Dallas, TX",Zimmerman Advertising,5a0b28a7075fb5ab,Data Scientist,,,,25 days,2016-10-16 00:37:13.486724
11,"Plano, TX",Rent-A-Center,200c3d0e53232993,Data Scientist - Strategy & Analytics,,40.8,1975,30+ days,2016-10-16 00:37:13.486724
12,"Plano, TX",Sonsoft Inc,42d6083c4b5baf2a,Data Scientists,,,,27 days,2016-10-16 00:37:13.486724
13,"Dallas, TX",Infor,3f932abf1bc67d26,Data Analyst,,42.6,60,9 days,2016-10-16 00:37:13.486724
14,"Plano, TX",AT&T,46d01eb96792ad68,Principal Big Data Scientist,,44.4,14286,7 days,2016-10-16 00:37:13.486724
15,"Dallas, TX",Straveda,389fbc8508123c43,Data Wrangler,,,,30+ days,2016-10-16 00:37:13.486724
16,"Irving, TX 75038",Verizon,8e326f1ec44575e9,Senior Data Scientist,,44.4,11109,9 days,2016-10-16 00:37:13.486724
17,"Irving, TX 75063","Aviall, Inc.",cbc6ee3e30d831d0,Sr. Data Scientist,,44.4,31,15 days,2016-10-16 00:37:13.486724
18,"Dallas, TX",Toyota,a4e55be7fafbb1ba,Analytics Delivery Consultant,,51.6,1643,23 days,2016-10-16 00:37:13.486724
19,"Dallas, TX",Parkland Hospital,f56bcf2370065de6,Data Analytics Scien Lv 2-PCCI,,43.8,302,4 days,2016-10-16 00:37:13.486724
20,"Plano, TX",AT&T,d83af1eef44307a4,Senior Big Data Scientist,,44.4,14286,10 days,2016-10-16 00:37:13.486724
21,"Dallas, TX 75287 (Far North area)",KPMG,f0965f6f76c093ba,Sr Associate - Data Scientist,,51.0,1768,23 days,2016-10-16 00:37:13.486724
22,"Irving, TX",Wolters Kluwer,1b0d257226eb5520,Applied Data Scientist,,43.2,217,10 days,2016-10-16 00:37:13.486724
23,"Irving, TX 75063","Aviall, Inc.",8c91db0ba3494440,Data Scientist II,,44.4,31,30+ days,2016-10-16 00:37:13.486724
24,"Dallas, TX 75243 (Northeast Dallas area)",Business Control Systems,46d1c7d4461c0792,Data Scientist,,,,11 days,2016-10-16 00:37:13.486724
25,"Dallas, TX",KPMG,c50c0d93b73ceabb,Data Visualization Software Engineer,,51.0,1768,1 day,2016-10-16 00:37:13.486724
26,"Dallas, TX",Markit,b7161a6b9cf6f8b4,"Associate, Entry Level Quantitative Analyst",,41.4,34,5 days,2016-10-16 00:37:13.486724
27,"Irving, TX","InfoVision, Inc.",89521c071d8c7c53,"Data Scientist - Irving, TX",,,,30+ days,2016-10-16 00:37:13.486724
28,"Dallas-Fort Worth, TX",Sabre,ba9ae4a6d04aa959,Senior Data Scientist,,43.8,137,30+ days,2016-10-16 00:37:13.486724
29,"Irving, TX 75015",Allstate Insurance,50e5535ccc8ce6bc,Big Data and Analytics Systems Analyst,,44.4,2836,18 days,2016-10-16 00:37:13.486724
30,"Plano, TX",AT&T,7ccc7f97d1946941,Principal Big Data Engineer,,44.4,14286,1 day,2016-10-16 00:37:13.486724
31,"Richardson, TX","TPR Consulting, LLC",dee392dd3d6484aa,Data Scientist,,,,30+ days,2016-10-16 00:37:13.486724
32,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,0f64acd0d7828eba,Research Analyst II,,43.8,206,3 days,2016-10-16 00:37:13.486724
33,"Irving, TX 75038",Incedo,e85394a87879e77d,Data Scientist,,52.800003,3,30+ days,2016-10-16 00:37:13.486724
34,"Plano, TX 75086",Baylor Scott & White Health,c64d6c9ca4fadbfe,Research Enrollment Analyst -- Cardiology,,43.8,206,1 day,2016-10-16 00:37:13.486724
35,"Irving, TX",Sirius XM Radio,8d60025811b97b0c,Senior Data Scientist,,42.6,31,30+ days,2016-10-16 00:37:13.486724
36,"Dallas, TX 75254 (Far North area)",Infor,0d1e156b3779c600,Research and Development Scientist,,42.6,60,1 day,2016-10-16 00:37:13.486724
37,"Dallas, TX",Deloitte,16261c9fdf63b81a,Advanced Analytics Enablement Big Data Senior Consultant,,51.0,3464,29 days,2016-10-16 00:37:13.486724
38,"Dallas, TX 75220 (Preston Hollow area)",Briggs Equipment,0b60c64affe8cb0a,Parts Research Analyst,,40.2,34,1 day,2016-10-16 00:37:13.486724
39,"Dallas, TX 75287 (Far North area)",KPMG,9243916a19b42a69,Manager - Data Scientist,,51.0,1768,23 days,2016-10-16 00:37:13.486724
40,"Dallas, TX",Toyota,1ab69d9bc6579bb3,Parts Sales Analyst,,51.6,1643,12 days,2016-10-16 00:37:13.486724
41,"Dallas, TX",Toyota,395510cce41c2828,Accessory Sales Analyst,,51.6,1643,11 days,2016-10-16 00:37:13.486724
42,"Plano, TX",Axius Technologies,efee1987084eb21b,Data Scientist,,54.0,4,17 days,2016-10-16 00:37:13.486724
43,"Plano, TX",AT&T,c11c6dd97a887178,Professional Data Scientist BIG DATA,,44.4,14286,30+ days,2016-10-16 00:37:13.486724
44,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,34fa95228b220a79,Research Scientist - Pathology,,43.8,202,9 days,2016-10-16 00:37:13.486724
45,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,6de49b293b73c7e0,Research Scientist - Internal Medicine - Cardiology,,43.8,202,2 days,2016-10-16 00:37:13.486724
46,"Dallas, TX",CDK Global,7bf35b6646b44b88,Sales Associate,,41.4,74,5 days,2016-10-16 00:37:13.486724
47,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,cebf2440f191006f,Statistical Programmer,,43.8,206,30+ days,2016-10-16 00:37:13.486724
48,"Plano, TX",Capital One,4c24c759ce4d9050,"Manager, Data Engineering(Machine Learning)",,44.4,2904,30+ days,2016-10-16 00:37:13.486724
49,"Dallas, TX 75234",Rushmore Loan Management,007d9bbeb778b7c7,Investor Research Analyst,,39.0,11,30 days,2016-10-16 00:37:13.486724
50,"Plano, TX",AT&T,914857647a34252f,Big Data Technical Intern I,,44.4,14286,24 days,2016-10-16 00:37:13.486724
51,"Richardson, TX",Samsung Research America,dac6cb2b8867d8a0,Computer Vision & Machine Learning Researcher,,43.8,6,30+ days,2016-10-16 00:37:13.486724
52,"Richardson, TX",Samsung,b714aa4f03ed4a0e,Computer Vision & Machine Learning Researcher,,44.4,1813,30+ days,2016-10-16 00:37:13.486724
53,"Irving, TX 75063",MEDISCA,431fa318a1d7b0ed,Compounded Product Scientist,,,,3 days,2016-10-16 00:37:13.486724
54,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,72826efcd80ce461,Prospect Research Analyst - Office of Vice President for Dev...,,43.8,202,30+ days,2016-10-16 00:37:13.486724
55,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,a730f4e08190ce66,Computational Scientist- Bioinformatics,,43.8,202,20 days,2016-10-16 00:37:13.486724
56,"Plano, TX",AT&T,a506cd9c69a95953,Big Data Technical Co Op I,,44.4,14286,24 days,2016-10-16 00:37:13.486724
57,"Plano, TX",Capital One,6ab3e187820cd23c,Data Scientist Intern - The University of Texas at Austin,,44.4,2904,30+ days,2016-10-16 00:37:13.486724
58,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,20bbdaea1f377a66,Research Analyst I -- Cardiovascular Epidemiology,,43.8,206,24 days,2016-10-16 00:37:13.486724
59,"Dallas, TX",Markit,dda9efc7522f5101,"Associate, Entry Level Research Analyst",,41.4,34,30+ days,2016-10-16 00:37:13.486724
60,"Plano, TX",PepsiCo,e373126fc2e4ef56,"R&D Qualitative Sensory Scientist, Plano",,44.4,5088,16 days,2016-10-16 00:37:13.486724
61,"Irving, TX 75038","Resolvity, Inc",5b24ac69bb0a375f,Speech Recognition Scientist - AI & Machine Learning,,,,30+ days,2016-10-16 00:37:13.486724
62,"Irving, TX",Strive Consulting LLC,a47949bddaa4e6d9,Data Scientist/Statistic Modeler,,,,4 days,2016-10-16 00:37:13.486724
63,"Irving, TX",Citi,81def5922aaaabf8,"VP, Fraud Reporting & Data Analysis Lead",,44.4,7967,30+ days,2016-10-16 00:37:13.486724
64,"Irving, TX","InfoSpace, Inc.",4e3002565b84f9cc,Data Engineer,,,,30+ days,2016-10-16 00:37:13.486724
65,"Dallas, TX",Parkland Hospital,3b50b9712944f318,HSR Scientist/Writer-PCCI,,43.8,302,4 days,2016-10-16 00:37:13.486724
66,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,f401b996dd66c5a6,Research Financial Analyst II,,43.8,206,13 days,2016-10-16 00:37:13.486724
67,"Dallas, TX",Quality Health Strategies,b736088e433dfef2,Statistician,,,,30+ days,2016-10-16 00:37:13.486724
68,"Dallas, TX 75219 (Oak Lawn area)",Healthmine Services,0ca58178757b3c53,Data Warehouse Architect,,,,30+ days,2016-10-16 00:37:13.486724
69,"Dallas, TX",Analytic Recruiting,10302f159effc3d1,Principal Data Scientist - Supply Chain,"$90,000 - $170,000 a year",51.0,2,30+ days,2016-10-16 00:37:13.486724
70,"Dallas-Fort Worth, TX",Sabre,358315e0967976d8,"Director, Data Science & Innovation",,43.8,137,30+ days,2016-10-16 00:37:13.486724
71,"Dallas-Fort Worth, TX",Sabre,722572c6124a97ea,Senior Operations Research Analyst,,43.8,137,4 days,2016-10-16 00:37:13.486724
72,"Irving, TX",Citi,2b265e347c5354d1,Big Data Real-Time Streaming Analytics Senior Engineer,,44.4,7967,30+ days,2016-10-16 00:37:13.486724
73,"Dallas, TX",Infor,b5cff654f56c953c,Behavioral Scientist,,42.6,60,1 day,2016-10-16 00:37:13.486724
74,"Plano, TX",Capital One,4d860bef470fcd7d,Data Scientist,,44.4,2904,30+ days,2016-10-16 00:37:13.486724
75,"Richardson, TX","BLU Ampersand, Inc",41bf5dc326e74759,Research Analyst - Oncology,,,,30+ days,2016-10-16 00:37:13.486724
76,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,d3ec227d11316f21,Sr. Research Scientist - Green Center for Systems Biology,,43.8,202,11 days,2016-10-16 00:37:13.486724
