,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Denver, CO",CareSource,99d388379e0b2e93,Predictive Modeling Analyst,,42.6,69,1 day,2016-10-16 00:33:17.464555
1,"Denver, CO",ICR Inc,82d27a79fbc7e563,Data Scientist,,,,4 days,2016-10-16 00:33:17.464555
2,"Broomfield, CO","Vadata, Inc",f0b73a3abf907e71,Data Scientist,,,,5 days,2016-10-16 00:33:17.464555
3,"Denver, CO 80202 (Lodo area)",KPMG,42d6aef39a3ddc0d,Data Scientist,,51.0,1768,1 day,2016-10-16 00:33:17.464555
4,"Denver, CO",Labcorp,ba488fa95cde132b,Statistical Analyst,,43.2,1700,22 hours,2016-10-16 00:33:17.464555
5,"Westminster, CO",Oracle,5dd2220530ef426d,Senior Data Scientist - Retail Analytics,,44.4,1012,2 days,2016-10-16 00:33:17.464555
6,"Denver, CO",University of Denver,1edfb58e28c96b55,Senior Research Analyst - Office of Institutional Research &...,,52.199997,60,8 days,2016-10-16 00:33:17.464555
7,"Denver, CO",Galvanize,989248c633bb0181,"Instructor, Sr. Data Scientist",,60.0,2,8 days,2016-10-16 00:33:17.464555
8,"Broomfield, CO",Oracle,c5ffb2083bddd5e3,Data Scientist - Oracle Data Cloud,,44.4,1012,22 days,2016-10-16 00:33:17.464555
9,"Denver, CO 80202 (Lodo area)",Ibotta,90504439d6a10855,Data Engineer,,51.0,5,4 days,2016-10-16 00:33:17.464555
10,"Denver, CO",Galvanize,778c32b8e628b100,"Associate Instructor, Data Science",,60.0,2,3 days,2016-10-16 00:33:17.464555
11,"Boulder, CO",CaliberMind,63265dc03e382020,Senior Data Scientist,"$120,000 a year",,,23 days,2016-10-16 00:33:17.464555
12,"Denver, CO 80202 (Lodo area)",Ray Allen,f18fefb3ce91da7d,Associate Data Scientist,,,,30+ days,2016-10-16 00:33:17.464555
13,"Denver, CO",Denver Public Schools,2b25be4f7ab45dc5,RESEARCH ANALYST – 16996,"$57,580 - $69,098 a year",43.8,157,2 days,2016-10-16 00:33:17.464555
14,"Denver, CO 80202 (Lodo area)",Ibotta,6b7b8940420fee88,Senior Data Scientist,,51.0,5,14 days,2016-10-16 00:33:17.464555
15,"Englewood, CO",DISH Network,51e854e18196b5c9,Quantitative Analyst,,40.8,2062,3 days,2016-10-16 00:33:17.464555
16,"Westminster, CO",Oracle,ef3f6cec80e8fdd2,Sr. Data Scientist-Identity Data Science,,44.4,1012,8 days,2016-10-16 00:33:17.464555
17,"Denver, CO",CareSource,8acc0dfa64a4206a,BI Developer,,42.6,69,1 day,2016-10-16 00:33:17.464555
18,"Boulder, CO",RefactorU,6a6c0fabb9abe1c2,Data Scientist (Curriculum Developer / Instructor),,,,5 days,2016-10-16 00:33:17.464555
19,"Centennial, CO 80111",S&P GLOBAL MARKET INTELLIGENCE,16c476c9c13d93da,ANALYST-DATA RESEARCH I,,42.6,19,11 days,2016-10-16 00:33:17.464555
20,"Denver, CO 80202 (Lodo area)",Ibotta,8d91f8141a1166a6,"Account Executive, Consumer Insights & Analytics",,51.0,5,1 day,2016-10-16 00:33:17.464555
21,"Englewood, CO",AristonTek Inc,626c0826f02fc747,Need Data Scientist consultant,,,,8 days,2016-10-16 00:33:17.464555
22,"Denver, CO",Digital First Media,116b0ef2cc26d167,Data Quality and ETL Analyst,,39.0,26,12 days,2016-10-16 00:33:17.464555
23,"Boulder, CO","Riverside Technology, inc.",8a3826d7623e5f01,Scientific Programmer,,,,23 days,2016-10-16 00:33:17.464555
24,"Denver, CO 80202 (Lodo area)",KPMG,67ab7f5951ce7a5c,Sr Associate - Data Scientist,,51.0,1768,23 days,2016-10-16 00:33:17.464555
25,"Boulder, CO",National Ecological Observatory Network Inc,dea76bc2f573c303,Staff Scientist-Data Products,,,,9 days,2016-10-16 00:33:17.464555
26,"Aurora, CO",University of Colorado,a73b8ccb6e10c740,Bioinformationist,"$50,000 - $63,000 a year",51.6,140,23 days,2016-10-16 00:33:17.464555
27,"Golden, CO",National Renewable Energy Laboratory,d56315ff7316b6a1,Energy Modeler - Engineer II,,42.0,26,16 days,2016-10-16 00:33:17.464555
28,"Denver, CO",General Assembly,5218f2cb2043174b,Part-time Data Science Instructor,,52.800003,74,21 days,2016-10-16 00:33:17.464555
29,"Boulder, CO",Agilent,af00e92ec008ae3b,Analytical Services Scientist,,52.199997,268,11 days,2016-10-16 00:33:17.464555
30,"Boulder, CO",University of Colorado,d63d8ea869db6083,Managing Director for STROBE,"$100,000 - $115,000 a year",51.6,140,1 day,2016-10-16 00:33:17.464555
31,"Aurora, CO",Atara Biotherapeutics,04d0ee7d8de73f48,Lead Scientist - Preclinical & Translational Science,,,,21 days,2016-10-16 00:33:17.464555
32,"Englewood, CO",DISH Network,43a0e3af32d3ca10,Data Scientist,,40.8,2062,30+ days,2016-10-16 00:33:17.464555
33,"Glendale, CO",LENDERLIVE NETWORK LLC,e6d04e1db555edaf,Quantitative Trading Analyst,,,,14 days,2016-10-16 00:33:17.464555
34,"Denver, CO 80204 (Central West Denver area)",Connecting People inc,34ca7482748e7841,Data Scientist,,,,24 days,2016-10-16 00:33:17.464555
35,"Boulder, CO 80302",Google,a3bda49fe6643525,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1218,2 days,2016-10-16 00:33:17.464555
36,"Denver, CO",Galvanize,c12d16302c838b45,"Lead Instructor, Principal Data Scientist",,60.0,2,14 days,2016-10-16 00:33:17.464555
37,"Denver, CO",xentity corporation,4ee1edca5362d9bd,Data Science Analyst,,,,30+ days,2016-10-16 00:33:17.464555
38,"Centennial, CO",Pearson,9668f5d7768bf6cc,"Senior Data/Research Scientist, Machine Learning",,43.8,782,24 days,2016-10-16 00:33:17.464555
39,"Englewood, CO",Leidos,2448aed4c1579117,Advanced Operations Research Analyst,,43.8,187,8 days,2016-10-16 00:33:17.464555
40,"Englewood, CO 80112","Arrow Electronics, Inc.",8400d4140bcf153b,Big Data Developer I,,42.6,276,30+ days,2016-10-16 00:33:17.464555
41,"Denver, CO",National Jewish Health,b96c28e37cac90bf,Bioinformatics Analyst I,,42.6,44,9 days,2016-10-16 00:33:17.464555
42,"Boulder, CO",Pearson,87d171fc99d4ca58,Software Engineer - Machine Learning,,43.8,782,30+ days,2016-10-16 00:33:17.464555
43,"Englewood, CO 80112",Comcast,dad96652d7d2f4b9,Big Data Analyst,,43.8,6366,30+ days,2016-10-16 00:33:17.464555
44,"Denver, CO 80202 (Lodo area)",KPMG,23e638d454862b6b,Manager - Data Scientist,,51.0,1768,23 days,2016-10-16 00:33:17.464555
45,"Centennial, CO",Pearson,1994037b11118b14,Machine Learning Engineer,,43.8,782,30+ days,2016-10-16 00:33:17.464555
46,"Golden, CO",National Renewable Energy Laboratory,7cbcefc1ad06fe4a,Scientific Data Systems Support Specialist,,42.0,26,30+ days,2016-10-16 00:33:17.464555
47,"Denver, CO",xentity corporation,18b3bd51e90756ae,Data Analyst,,,,30+ days,2016-10-16 00:33:17.464555
48,"Denver, CO",U.S. Bank,92644d499bc21cc6,Quantitative Model Risk Analyst,,43.2,2958,27 days,2016-10-16 00:33:17.464555
49,"Greenwood Village, CO",Charter Communications,ed7aa68aef1974ba,"Director, Advanced Analytics",,42.6,1347,30+ days,2016-10-16 00:33:17.464555
50,"Centennial, CO",Pearson,9e23b8017125b4db,Senior Data/Research Scientist,,43.8,782,30+ days,2016-10-16 00:33:17.464555
51,"Boulder, CO",Markit Financial Info Service,beb3e6a58677dafe,"Data Scientist, Markit Digital",,,,30+ days,2016-10-16 00:33:17.464555
52,"Boulder, CO 80305 (Central Boulder area)",Scaled Agile,c2af148c4e31470e,Data Scientist,,,,30+ days,2016-10-16 00:33:17.464555
53,"Golden, CO",National Renewable Energy Laboratory,fbdf862a6e5c6395,Scientific Visualization Researcher,,42.0,26,2 days,2016-10-16 00:33:17.464555
54,"Boulder, CO",Ball Aerospace,43759c01798ab866,Principal Structural Engineer - Structural Analyst (659743),,43.2,35,5 days,2016-10-16 00:33:17.464555
55,"Denver, CO",AdTaxi Networks,85997d76894dd5cc,Data Quality and ETL Analyst,,,,12 days,2016-10-16 00:33:17.464555
56,"Boulder, CO",University of Colorado,c547fe90887eb415,Research Associate,,51.6,140,1 day,2016-10-16 00:33:17.464555
57,"Broomfield, CO 80021",Return Path,a3950fc5eda9e7eb,"Director, Data Science and Analytics",,51.0,14,30+ days,2016-10-16 00:33:17.464555
58,"Boulder, CO",University of Colorado,a7fb6c0efbd1bc20,Professional Research Asst,,51.6,140,18 days,2016-10-16 00:33:17.464555
59,"Denver, CO 80202 (Lodo area)",KPMG,3ea0a30cb63d96b6,"Manager, Tax Technology - Machine Learning",,51.0,1768,8 days,2016-10-16 00:33:17.464555
60,"Denver, CO",CoBank,a30a62313b7277b5,Senior Quantitative Risk Analyst,,42.6,12,21 days,2016-10-16 00:33:17.464555
61,"Golden, CO",National Renewable Energy Laboratory,4c13663b4d9fc186,Postdoctoral Researcher-Transportation Data and Analysis,,42.0,26,26 days,2016-10-16 00:33:17.464555
62,"Denver, CO",10Roof Technology,5f67a0e1e01de4a2,"Big Data Developer (Spark, Hadoop, Hive)","$105,000 a year",,,30+ days,2016-10-16 00:33:17.464555
63,"Broomfield, CO 80021",Return Path,f0c147804d5ba7e1,Data Scientist,,51.0,14,30+ days,2016-10-16 00:33:17.464555
64,"Boulder, CO",Markit,380a7e7465d38b00,"Data Scientist, Markit Digital",,41.4,34,30+ days,2016-10-16 00:33:17.464555
65,"Englewood, CO 80112",Arrow Electronics,d02abc6204417bce,Big Data Developer I,,42.6,276,30+ days,2016-10-16 00:33:17.464555
66,"Lakewood, CO",Natural Grocers,ed0675b696ecc191,Purchasing Data and Analysis Assistant Manager,,40.8,53,2 days,2016-10-16 00:33:17.464555
67,"Golden, CO",National Renewable Energy Laboratory,5a655dc7e0cac78c,Internship (Year Round)-Transportation Data and Advanced Veh...,,42.0,26,30+ days,2016-10-16 00:33:17.464555
68,"Denver, CO",University of Denver,b04371defc02df34,Research Analyst - The Office of Institutional Research & An...,,52.199997,60,30+ days,2016-10-16 00:33:17.464555
69,"Denver, CO",Galvanize,df8eb88510d72ab8,"Lead Instructor, Principal Data Scientist - Enterprise",,60.0,2,5 days,2016-10-16 00:33:17.464555
70,"Denver, CO",ViaSat,14ff7df1708da7b0,Intern - Marketing Research Analyst,,43.2,61,30+ days,2016-10-16 00:33:17.464555
71,"Aurora, CO",Staples,5af82c828adf06e1,Senior Insight Analyst,,43.2,5423,19 days,2016-10-16 00:33:17.464555
72,"Boulder, CO",Ball Aerospace,48ceae9ce0387ce8,Technical Intern-Data Analytics (659543),,43.2,35,30+ days,2016-10-16 00:33:17.464555
73,"Boulder, CO",UCAR,76fbbf54451c6292,Project Scientist I - Inverse Modeling,,44.4,10,30+ days,2016-10-16 00:33:17.464555
74,"Denver, CO 80226",Patsy's Craft Confections | Summit Soap | Maui Soa...,5401a6c16cfd1fcc,Food Scientist: Chemistry & Formulations,"$35,000 a year",,,2 days,2016-10-16 00:33:17.464555
75,"Boulder, CO",LENA Research Foundation,b2cc43fd50039586,Sr. Research Engineer: Machine Learning and Computational Li...,,,,30+ days,2016-10-16 00:33:17.464555
76,"Golden, CO",xentity corporation,a9a5d048aff6a7e9,Data Science Analyst (Intern),,,,30+ days,2016-10-16 00:33:17.464555
77,"Englewood, CO 80112",Hitachi Data Systems,276abd31cbb66afb,HR Intern,,51.0,781,25 days,2016-10-16 00:33:17.464555
78,"Lakewood, CO",Pacific Metrics,7640a34b6f2405f1,Research Associate,,,,18 days,2016-10-16 00:33:17.464555
79,"Denver, CO 80202 (Lodo area)",KPMG,19ad2e488523db0b,"Manager, Tax Technology - Data Analytics",,51.0,1768,9 days,2016-10-16 00:33:17.464555
80,"Englewood, CO",Leidos,ed49e15a67bc3f7d,Sr. Air Force Operations Research Analyst,,43.8,187,8 days,2016-10-16 00:33:17.464555
81,"Denver, CO",Denver Public Schools,8bb49e1dc7448f95,SENIOR RESEARCH ANALYST AND DATA STRATEGIST,$33.69 an hour,43.8,157,1 day,2016-10-16 00:33:17.464555
82,"Boulder, CO",Southwest Research Institute,9ca9df0a8fea4e05,RESEARCH SCIENTIST - HELIOPHYSICS,,53.4,62,30+ days,2016-10-16 00:33:17.464555
83,"Boulder, CO",KBI Biopharma,91a7ed1bd0c49244,PD Scientist II-DSP #230,,40.8,3,4 days,2016-10-16 00:33:17.464555
84,"Centennial, CO",Pearson,b5d20d7210332a6b,"Senior Research Engineer, Machine Learning",,43.8,782,30+ days,2016-10-16 00:33:17.464555
85,"Denver, CO 80202 (Lodo area)",Partners Group,c31fab71bf3ad24e,Portfolio Quantitative Analyst,,40.2,5,30+ days,2016-10-16 00:33:17.464555
86,"Westminster, CO",DigitalGlobe,f7cd9d54cd87a83c,Python Development Engineer/Geospatial Big Data,,43.2,52,30+ days,2016-10-16 00:33:17.464555
87,"Westminster, CO",Ball Aerospace,a31b9fcb22aaed9b,Antenna (Low Observable) Engineer I (658443),,43.2,35,7 days,2016-10-16 00:33:17.464555
88,"Boulder, CO",Association of Universities for Research in Astron...,28e163bfb5398f0f,Associate Scientist,,,,30+ days,2016-10-16 00:33:17.464555
89,"Centennial, CO 80111",Leidos,539b36b0443ae1c9,Research Scientist (Antarctica) (Alternate position 2),,43.8,187,30+ days,2016-10-16 00:33:17.464555
90,"Westminster, CO","Flagship Biosciences, Inc.",4ffdcd0e32dcd5d1,Software Engineer,,,,8 days,2016-10-16 00:33:17.464555
91,"Denver, CO 80204 (Central West Denver area)",Denver Health,679c3c4f32de08a5,Business Manager - RADARS,"$88,091 a year",42.0,88,30+ days,2016-10-16 00:33:17.464555
92,"Aurora, CO",University of Colorado,f4eda79da32b3eaf,Senior Informatics Analyst,"$68,000 a year",51.6,140,30+ days,2016-10-16 00:33:17.464555
93,"Boulder, CO",Ball Aerospace,fedb82c17e253b04,Subcontract Lead (659736),,43.2,35,7 days,2016-10-16 00:33:17.464555
