,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Houston, TX",Exxon Mobil,857a318d918bc7ce,Data Scientist,,51.0,1005,10 days,2016-10-16 00:35:56.240193
1,"Houston, TX",National Oilwell Varco,18cbee11f92a560b,Data Scientist,,44.4,1102,17 days,2016-10-16 00:35:56.240193
2,"Houston, TX",Quantlab Financial,832f8cb888fad827,Quantitative Research Scientist - Options Strategist,,,,3 days,2016-10-16 00:35:56.240193
3,"Houston, TX",Shell,8b4e7620872d8b19,"Quantitative Risk Analyst (Houston, TX)",,44.4,1374,5 days,2016-10-16 00:35:56.240193
4,"Houston, TX 77070","Noble Energy, Inc.",9e4026730140473a,Data Scientist,,51.6,83,27 days,2016-10-16 00:35:56.240193
5,"Houston, TX 77046 (Montrose area)","Enaxis Consulting, LP",cd6ec51198b13a41,Analytics Data Engineer,,,,1 day,2016-10-16 00:35:56.240193
6,"Houston, TX",Pros.,f645ad1a7ec74dd5,Scientist I,,,,4 days,2016-10-16 00:35:56.240193
7,"Houston, TX",MD Anderson Cancer Center,c3d60a2a43db94fe,Research Statistical Analyst,,51.6,250,29 days,2016-10-16 00:35:56.240193
8,"Houston, TX",Endevis,e6256beb4e410047,Data Scientist,,51.0,5,9 days,2016-10-16 00:35:56.240193
9,"Houston, TX",UT Health Science Center at Houston,778cee93eb56e9be,Research Scientist,,43.2,79,1 day,2016-10-16 00:35:56.240193
10,"Houston, TX 77057 (Galleria-Uptown area)",Experis,c64f131cd83c8fda,Analytical Data Scientist,,43.8,294,15 days,2016-10-16 00:35:56.240193
11,"Houston, TX",Panton,75965b54cfc10fc4,Junior Data Scientist,,,,30+ days,2016-10-16 00:35:56.240193
12,"Houston, TX",BOEING,51b39103e97ed066,Software Engineer - Entry Level,,51.6,2923,1 day,2016-10-16 00:35:56.240193
13,"Houston, TX",The Hanover Company,699f12fa69d83b44,Quantitative Analyst,,51.0,5,30+ days,2016-10-16 00:35:56.240193
14,"Houston, TX 77030 (Medical area)",Houston Methodist,627d59d3adc6f769,Research Scientist,,52.199997,765,11 days,2016-10-16 00:35:56.240193
15,"Houston, TX",Houston Rockets,08287a54c2d7984b,Statistician,,54.6,14,29 days,2016-10-16 00:35:56.240193
16,"Houston, TX",Baylor College of Medicine,df74e71c48c38210,Lead Bioinformatics Programmer,"$83,000 - $102,000 a year",51.0,174,15 days,2016-10-16 00:35:56.240193
17,"Houston, TX",Rice University,7f96a850263aed5c,Data Science Faculty,,53.4,82,1 day,2016-10-16 00:35:56.240193
18,"Houston, TX",Rice University,50610a3399c805cf,Faculty in Data Science,,53.4,82,30+ days,2016-10-16 00:35:56.240193
19,"Houston, TX",MD Anderson Cancer Center,e79e5ddb0e02a501,Research Scientist in Lymphoma/Myeloma Research,,51.6,250,1 day,2016-10-16 00:35:56.240193
20,"Houston, TX 77057 (Galleria-Uptown area)",Wood Mackenzie,4a121ff69c4c31db,"Research Analyst, PCI Fibers",,43.8,10,2 days,2016-10-16 00:35:56.240193
21,"Houston, TX","Adroit Partners, LLC",46e37848c289391d,Search Engine Marketing (SEM) Data Scientist,,,,26 days,2016-10-16 00:35:56.240193
22,"Houston, TX",Tessella,b90b409bf222cd22,Data Scientist / Software Developer – Oil and Gas,,,,30+ days,2016-10-16 00:35:56.240193
23,"Houston, TX","Amazon Web Services, Inc.",79e6ec9105bfea5f,Data Scientist - Houston,,43.2,9607,30+ days,2016-10-16 00:35:56.240193
24,"Houston, TX",EDF Trading North America LLC,8d95d4cf6f3bcb3b,Data Scientist,,,,30+ days,2016-10-16 00:35:56.240193
25,"Houston, TX 77056 (Galleria-Uptown area)",Objectwin Technology Inc,a614430a72b3688b,SEM (Search Engine Marketing) Data Scientist,,44.4,19,1 day,2016-10-16 00:35:56.240193
26,"Houston, TX",University of Houston,9beb7a410c76d6d6,Institutional Research Analyst,,52.800003,405,1 day,2016-10-16 00:35:56.240193
27,"Houston, TX",MD Anderson Cancer Center,25dae48a09724a03,"Supv, Cell Therapy Lab","$66,800 - $100,200 a year",51.6,250,29 days,2016-10-16 00:35:56.240193
28,"Houston, TX",Baylor College of Medicine,67d44a5060b9bb68,Senior Research Quality Assurance Analyst,"$54,590 a year",51.0,174,4 days,2016-10-16 00:35:56.240193
29,"Houston, TX",Baylor College of Medicine,3280acf386423b4e,Senior Research Policy Analyst,"$72,000 a year",51.0,174,25 days,2016-10-16 00:35:56.240193
30,"Houston, TX 77046 (Montrose area)",Gexa Energy LP,e5dd0e38df864fe3,Principal Quantitative Analyst - Strategy & Business Develop...,,,,16 days,2016-10-16 00:35:56.240193
31,"Houston, TX",Clearpoint,be45e4b0b3cfe0f4,SEM Data Scientist | Search Engine Marketing Analyst,$64.50 a day,42.0,12,15 days,2016-10-16 00:35:56.240193
32,"Houston, TX",CHC,d4606cb6d6436d24,Quantitative Marketing Analyst,,,,21 days,2016-10-16 00:35:56.240193
33,"Houston, TX",Baylor College of Medicine,4cfdae166636039f,Research Financial Analyst II,"$65,000 a year",51.0,174,9 days,2016-10-16 00:35:56.240193
34,"Houston, TX",Schlumberger,f0fd50de967cb4b8,Data Scientist,,51.0,2488,30+ days,2016-10-16 00:35:56.240193
35,"Pasadena, TX",California Institute of Technology,e76eb267b2e940ac,Scientific Researcher,,51.6,64,3 days,2016-10-16 00:35:56.240193
36,"Houston, TX",Oscar Technology,ceef7901a6d38d05,Data Scientist,,,,30+ days,2016-10-16 00:35:56.240193
37,"Houston, TX",University of Houston,91ec6392c26c4404,Research Scientist - HPC Application Specialist,,52.800003,405,22 days,2016-10-16 00:35:56.240193
38,"Houston, TX",UT Health Science Center at Houston,c38d1d9ed76eb636,Research Scientist Sr.,,43.2,79,1 day,2016-10-16 00:35:56.240193
39,"Houston, TX",MD Anderson Cancer Center,6e7d4a41a7434c5f,Institute Research Scientist - Translational Biomarker Disco...,,51.6,250,1 day,2016-10-16 00:35:56.240193
40,"Houston, TX",Rice University,370534f19374f4ba,Development Research Analyst,,53.4,82,24 days,2016-10-16 00:35:56.240193
41,"Houston, TX",MD Anderson Cancer Center,7d70f3a022e0361e,Research Assistant II- Lymphoma/Myeloma Research,,51.6,250,11 days,2016-10-16 00:35:56.240193
42,"Houston, TX",University of Houston,806748b1b9da8ff6,Sr. Researcher Nat Phys Science (Extravehicular Activity (EV...,,52.800003,405,1 day,2016-10-16 00:35:56.240193
43,"Houston, TX",Oscar Technology,a7543e2cc33d7b14,Database Engineer/Scientist,,,,30+ days,2016-10-16 00:35:56.240193
44,"Houston, TX",Selby Jennings,1e0688e6d33cdf77,C++/Python Trading Platform Developer-Texas,,,,1 day,2016-10-16 00:35:56.240193
45,"Houston, TX",University of Houston,b01f4ed9a7a36400,Postdoctoral Fellow/Research Scientist Positions in Imaging,,52.800003,405,26 days,2016-10-16 00:35:56.240193
46,"Houston, TX 77032",Halliburton,60ede58934818ae4,Predictive Modeling Data Scientist,,44.4,3030,30+ days,2016-10-16 00:35:56.240193
47,"Clear Lake Shores, TX","National Audubon Society, Inc.",41eaee9c11a2bb75,Coastal Program Intern- Citizen Science,,,,3 days,2016-10-16 00:35:56.240193
48,"Houston, TX","AMD Global, LLC",f62defeba20bddd3,Marketing and Research Analyst,,,,14 days,2016-10-16 00:35:56.240193
49,"Houston, TX",MD Anderson Cancer Center,267f758122bed95e,Institute Research Scientist - In vitro Pharmacology,,51.6,250,29 days,2016-10-16 00:35:56.240193
50,"Houston, TX",SearchAccountingJobs,e0acfbe2f2186614,Quantitative Risk Analyst,"$150,000 - $205,000 a year",,,3 days,2016-10-16 00:35:56.240193
51,"Houston, TX",MD Anderson Cancer Center,3721665b1b21d0cd,Research Admin Analyst-Export Controls,,51.6,250,29 days,2016-10-16 00:35:56.240193
52,"Houston, TX",Baylor College of Medicine,66e71c8abf715e08,Sr. Bioinformatics Programmer,"$70,000 - $91,000 a year",51.0,174,15 days,2016-10-16 00:35:56.240193
53,"Houston, TX 77032",NDT Global,96d4e442f9953998,"EXECUTIVE MANAGER DATA ANALYSIS for Dublin, Ireland",,39.0,2,30+ days,2016-10-16 00:35:56.240193
54,"Houston, TX",Baylor College of Medicine,abe20a44f993366a,Bioinformatics Programmer II,"$72,120 a year",51.0,174,30+ days,2016-10-16 00:35:56.240193
55,"Houston, TX",MD Anderson Cancer Center,e2d1e35561bf1791,Clinical Research Analyst - Quality Assurance,,51.6,250,17 days,2016-10-16 00:35:56.240193
56,"Houston, TX",Panton,05958a9803208162,High Performance Computing Developer (HPC),,,,30+ days,2016-10-16 00:35:56.240193
57,"Houston, TX 77098 (Montrose area)",Ortec International USA Inc.,f81e91ab8b0f39de,Operations Research Analyst Co-op UofL,,,,19 days,2016-10-16 00:35:56.240193
58,"Houston, TX",Expero Inc,a57ba283bbd36aec,Front-End Programmer (React),,,,30+ days,2016-10-16 00:35:56.240193
59,"Houston, TX",Avanade,624544df6818967b,Data Scientist Director - East,,44.4,76,30+ days,2016-10-16 00:35:56.240193
60,"Houston, TX",Baylor College of Medicine,912bf5cf7de3d8c7,Senior Quality Assurance / Quality Control (Research) Analys...,"$60,998 a year",51.0,174,30+ days,2016-10-16 00:35:56.240193
61,"Houston, TX 77040",Baker Hughes,62a5d1a17d9b18c3,Polymer Scientist - Houston TX,,51.0,1862,23 days,2016-10-16 00:35:56.240193
62,"Houston, TX",Sephora,71afedc9c446e960,Teaching and Reading Assistant,,51.0,1269,22 hours,2016-10-16 00:35:56.240193
63,"Houston, TX 77030 (Medical area)",Houston Methodist,7e3fba30fe9ec701,Senior Research Associate,,52.199997,765,30+ days,2016-10-16 00:35:56.240193
64,"Houston, TX","GeoControl Systems, Inc.",5db12808e2bcf134,Research Scientist,,,,30+ days,2016-10-16 00:35:56.240193
65,"Houston, TX",Lonza,d96bdb2ba1f746a0,Analytical Development Scientist III,,40.8,53,4 days,2016-10-16 00:35:56.240193
66,"Houston, TX 77006 (Montrose area)",Rekruiters,22ab419b40468c0e,C++ Software Engineer,"$250,000 a year",,,16 days,2016-10-16 00:35:56.240193
67,"Houston, TX",Rice University,a57e2f320b68a10a,Corporate Data and Research Analyst,,53.4,82,30+ days,2016-10-16 00:35:56.240193
68,"Houston, TX",CEVA Logistics,342d3b20dcbfd9eb,Sr Market Research Analyst,,42.6,1347,29 days,2016-10-16 00:35:56.240193
69,"Houston, TX",Valic,08ff96b45163ab64,Associate Director Application Development,,43.8,891,15 days,2016-10-16 00:35:56.240193
70,"Houston, TX 77030 (Medical area)",Houston Methodist,f1157454081f904f,Scientist,,52.199997,765,30+ days,2016-10-16 00:35:56.240193
71,"Houston, TX",Oscar Technology,e2a5c1c0e18a816f,Big Data Analytics Manager,"$160,000 a year",,,30+ days,2016-10-16 00:35:56.240193
72,"Houston, TX",Baylor Miraca Genetics Laboratories LLC,704e87d3e09a7989,Research & Development Scientist III,,,,30+ days,2016-10-16 00:35:56.240193
73,"Houston, TX 77056 (Galleria-Uptown area)",CDM Smith,f0e0d72402aff509,Planner 4-Transportation,,42.6,73,3 days,2016-10-16 00:35:56.240193
74,"Houston, TX","Beckman Coulter, Inc.",2912b20949a83453,Regional Sales Manager - Southwest,,42.6,245,12 days,2016-10-16 00:35:56.240193
75,"Houston, TX 77032",Halliburton,bdf3823ddaa8b8d4,Principal Nuclear Scientist,,44.4,3030,10 days,2016-10-16 00:35:56.240193
76,"Houston, TX",MD Anderson Cancer Center,38006a6697db4be0,Behavioral Research Scientist,,51.6,250,29 days,2016-10-16 00:35:56.240193
77,"Houston, TX",Texas Department of Public Safety,80443e937545cf62,"Forensic Scientist I-III(DNA Analysis), LES-Houston","$3,616 - $5,433 a month",44.4,98,3 days,2016-10-16 00:35:56.240193
78,"Houston, TX",AIG,9391174e3118fcdd,Associate Director Application Development,,43.8,891,19 days,2016-10-16 00:35:56.240193
79,"Houston, TX",alliantgroup,8747b0067f1d1deb,Engineering Consultant,,,,29 days,2016-10-16 00:35:56.240193
80,"Houston, TX",Axius Technologies,c51327e23f5b1946,Chief Data Scientist,,54.0,4,30+ days,2016-10-16 00:35:56.240193
81,"Houston, TX",EnDevor,12a569cf9dadb2f2,Director QC Analytical Services,,,,1 day,2016-10-16 00:35:56.240193
82,"Sugar Land, TX","NALCO Champion, An Ecolab Company",ab87859ad054fa03,Sr. Chemist,,52.800003,3,21 days,2016-10-16 00:35:56.240193
83,"Bellaire, TX 77401",NX Prenatal Inc.,6875df254f57b9fd,Principal Scientist - Assay Development,,,,4 days,2016-10-16 00:35:56.240193
84,"Houston, TX","Sycamore Life Sciences, LLC",2f20babf64438913,Sales and Applications Specialist,,,,30+ days,2016-10-16 00:35:56.240193
