,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"San Jose, CA",PayPal,05383d03c5575dab,Data Scientist 2,,44.4,422,1 day,2016-10-16 00:31:42.416696
1,"San Jose, CA",Get It Mobile,8a346163d5f5783e,Data Scientist,,,,4 days,2016-10-16 00:31:42.416696
2,"Santa Clara, CA",Roche,3b879e6af66e9d23,"Data Scientist I, Sequencing",,52.199997,335,5 days,2016-10-16 00:31:42.416696
3,"Mountain View, CA 94039",Intuit,e0522e65ebac1469,Data Scientist,,52.199997,466,2 days,2016-10-16 00:31:42.416696
4,"Mountain View, CA 94043",Edison Pharmaceuticals,80bdeb4dbb6c87cf,Data Scientist,,,,2 days,2016-10-16 00:31:42.416696
5,"San Jose, CA 95101 (North Valley area)",MWIDM Inc.,a6ef8631c7c50c37,Full Time Job Oppurtunity Data Scientist/Data Engineer In Sa...,,,,3 days,2016-10-16 00:31:42.416696
6,"Santa Clara Valley, CA",Apple,5772f2f0369b8c07,"Data Scientist, Proactive Intelligence",,52.800003,2568,5 days,2016-10-16 00:31:42.416696
7,"Mountain View, CA 94043",Retail Solutions,3f655fdd7ded88e1,Data Scientist,,,,4 days,2016-10-16 00:31:42.416696
8,"Mountain View, CA",Siemens,d3903aae9833d955,Data Scientist,,51.6,4061,13 days,2016-10-16 00:31:42.416696
9,"Santa Clara Valley, CA",Apple,15f56eb6ae4c8646,Research Scientists - Machine Learning,,52.800003,2568,2 days,2016-10-16 00:31:42.416696
10,"Menlo Park, CA",Facebook,58ccb9c5ee7bd1da,"Data Scientist, Core Data Science",,51.0,112,6 days,2016-10-16 00:31:42.416696
11,"Santa Clara Valley, CA",Apple,36848d13a3ac6e8a,"Data Scientist, Internet Services Team",,52.800003,2568,15 days,2016-10-16 00:31:42.416696
12,"Mountain View, CA",Intellipro Group,48f6d8e75b4d20bb,Data Scientist,,,,18 days,2016-10-16 00:31:42.416696
