,gross,rating,runtime,title,year,Budget,big_six,screenplay,novel,comic_story,other_type,oscar_won,oscar_nom,rated_r,rated_pg13,rated_pg,rated_g,director_tier,super_actors,top_actors,mid_actors,bottom_actors,drama,comedy,action,crime,adventure,thriller,romance,other
0,533320000,9.0,152,The Dark Knight,2008,185000000,1,1,0,0,0,1,0,0,1,0,0,super,1,1,2,0,1,0,1,1,0,0,0,0
3,377020000,8.9,201,The Lord of the Rings: The Return of the King,2003,94000000,0,1,1,0,0,1,0,0,1,0,0,super,1,3,0,0,1,0,0,0,1,0,0,1
3089,0,8.9,149,RangiTaranga,2015,15000000,0,0,0,0,1,0,0,0,0,0,0,top,0,0,0,4,0,0,0,0,1,0,0,1
2,313840000,8.8,178,The Lord of the Rings: The Fellowship of the Ring,2001,93000000,0,1,1,0,0,1,0,0,1,0,0,super,1,2,1,0,1,0,0,0,1,0,0,1
1,292570000,8.8,148,Inception,2010,160000000,1,0,0,0,1,1,0,0,1,0,0,super,1,1,2,0,0,0,1,0,1,0,0,1
2375,43560000,8.7,139,Hacksaw Ridge,2016,40000000,0,1,0,0,0,0,0,1,0,0,0,top,0,0,3,1,1,0,0,0,0,0,0,1
5,340480000,8.7,179,The Lord of the Rings: The Two Towers,2002,94000000,0,1,1,0,0,1,0,0,1,0,0,super,1,3,0,0,1,0,0,0,1,0,0,1
2045,0,8.7,163,Drishyam,2015,9400000,0,0,0,1,0,0,0,0,0,0,0,top,0,1,0,3,1,0,0,1,0,0,0,1
53,7560000,8.7,130,City of God,2002,3300000,0,1,1,0,0,0,1,1,0,0,0,top,0,0,0,4,1,0,0,1,0,0,0,0
10,187990000,8.6,169,Interstellar,2014,165000000,1,0,0,0,1,1,0,0,1,0,0,super,1,2,0,1,1,0,0,0,1,0,0,1
108,10050000,8.6,125,Spirited Away,2001,19000000,0,0,0,0,1,1,0,0,0,1,0,super,0,0,0,4,0,0,0,0,1,0,0,1
65,13180000,8.6,112,The Intouchables,2011,30000000,0,0,0,0,1,0,0,1,0,0,0,top,0,0,0,4,1,1,0,0,0,0,0,1
70,32520000,8.5,150,The Pianist,2002,35000000,0,1,0,0,0,1,0,1,0,0,0,top,0,1,0,3,1,0,0,0,0,0,0,1
114,13090000,8.5,107,Whiplash,2014,3300000,0,0,0,0,1,1,0,1,0,0,0,top,0,0,1,3,1,0,0,0,0,0,0,1
299,11280000,8.5,137,The Lives of Others,2006,2000000,0,0,0,0,1,1,0,1,0,0,0,top,0,0,0,4,1,0,0,0,0,1,0,0
3515,0,8.5,171,Jigarthanda,2014,5400000,0,1,1,0,0,0,0,0,0,0,0,top,0,0,0,4,1,0,1,1,0,0,0,0
4,448130000,8.5,164,The Dark Knight Rises,2012,250000000,1,1,0,0,0,0,0,0,1,0,0,super,2,1,1,0,0,0,1,0,0,1,0,0
15,25530000,8.5,113,Memento,2000,9000000,0,1,0,0,0,0,1,1,0,0,0,super,0,0,2,2,0,0,0,0,0,1,0,1
13,132370000,8.5,151,The Departed,2006,90000000,1,1,0,0,0,1,0,1,0,0,0,super,2,0,2,0,1,0,0,1,0,1,0,0
7,187670000,8.5,155,Gladiator,2000,103000000,1,1,0,0,0,1,0,1,0,0,0,super,1,1,1,1,1,0,1,0,1,0,0,0
14,53080000,8.5,130,The Prestige,2006,40000000,1,1,0,0,0,0,1,0,1,0,0,super,1,3,0,0,1,0,0,0,0,0,0,1
1966,0,8.4,130,Airlift,2016,4400000,1,0,0,0,1,0,0,0,0,0,0,top,0,0,0,4,1,0,1,0,0,0,0,1
607,7100000,8.4,123,Jodaeiye Nader az Simin,2011,500000,0,0,0,0,1,1,0,0,1,0,0,top,0,0,0,4,1,0,0,0,0,0,0,1
9,162800000,8.4,165,Django Unchained,2012,100000000,1,0,0,0,1,1,0,1,0,0,0,super,1,0,3,0,1,0,0,0,0,0,0,1
158,2180000,8.4,120,Oldeuboi,2003,3000000,0,0,0,1,0,0,0,1,0,0,0,super,0,0,0,4,1,0,0,0,0,1,0,1
1710,45060000,8.4,116,Arrival,2016,47000000,0,1,0,0,0,0,0,0,1,0,0,super,1,1,1,1,1,0,0,0,0,0,0,1
41,3610000,8.4,102,Requiem for a Dream,2000,4500000,0,1,0,0,0,0,1,1,0,0,0,super,0,2,0,2,1,0,0,0,0,0,0,0
