year,league_id,team_id,park_id,span_first,span_last,games,openings,attendance
1871,,BS1,BOS01,1871-05-16,1871-10-07,16,16,32600
1871,,BS1,NYC01,1871-05-27,1871-05-27,1,1,3000
1871,,CH1,CHI01,1871-05-08,1871-09-29,16,15,85500
1871,,CH1,NYC01,1871-10-30,1871-10-30,1,1,600
1871,,CL1,CIN01,1871-05-13,1871-07-22,2,2,2200
1871,,CL1,CLE01,1871-05-11,1871-09-27,11,6,9500
1871,,FW1,FOR01,1871-05-04,1871-08-29,9,4,2350
1871,,NY2,NYC01,1871-05-25,1871-09-22,19,18,42050
1871,,PH1,PHI01,1871-06-03,1871-10-18,14,14,52000
1871,,RC1,CHI01,1871-08-08,1871-08-08,1,1,1000
1871,,RC1,RCK01,1871-05-06,1871-08-03,6,5,5200
1871,,TRO,TRO01,1871-05-09,1871-10-23,17,10,14050
1871,,WS3,BAL01,1871-07-08,1871-07-08,1,1,1000
1871,,WS3,CIN01,1871-07-04,1871-07-04,1,1,5500
1871,,WS3,NYC01,1871-07-28,1871-07-28,1,1,1500
1871,,WS3,WAS01,1871-05-05,1871-08-26,11,8,15950
1872,,BL1,BAL02,1872-04-22,1872-10-17,29,19,23100
1872,,BR1,NYC01,1872-05-07,1872-10-22,14,8,3400
1872,,BR2,NYC02,1872-05-06,1872-10-31,18,14,8350
1872,,BS1,BOS01,1872-05-11,1872-10-05,21,21,38400
1872,,CL1,CHI02,1872-05-29,1872-05-30,2,2,5000
1872,,CL1,CLE01,1872-06-01,1872-08-19,5,2,1500
1872,,MID,HRT02,1872-06-21,1872-08-09,3,1,600
1872,,MID,MID01,1872-05-02,1872-07-27,7,1,500
1872,,MID,SPR01,1872-07-23,1872-07-23,1,1,1200
1872,,NY2,NYC01,1872-04-29,1872-10-30,29,28,46750
1872,,PH1,PHI01,1872-05-01,1872-10-07,28,28,66500
1872,,TRO,CHI02,1872-06-17,1872-07-04,4,4,13100
1872,,TRO,TRO01,1872-04-26,1872-06-06,8,7,9500
1872,,WS3,WAS01,1872-04-18,1872-05-24,7,2,700
1872,,WS4,WAS02,1872-04-20,1872-05-25,7,2,450
1873,,BL1,BAL02,1873-04-21,1873-10-21,27,0,0
1873,,BL4,BAL02,1873-04-14,1873-04-14,1,0,0
1873,,BR2,NYC01,1873-05-07,1873-11-01,29,0,0
1873,,BS1,BOS01,1873-04-23,1873-10-13,28,0,0
1873,,BS1,CHI02,1873-08-16,1873-08-16,1,0,0
1873,,BS1,SPR01,1873-07-16,1873-07-16,1,0,0
1873,,ELI,NYC01,1873-06-12,1873-06-12,1,0,0
1873,,ELI,WAV01,1873-04-28,1873-07-23,7,0,0
1873,,NY2,NYC01,1873-05-05,1873-10-21,31,0,0
1873,,PH1,PHI01,1873-04-21,1873-10-29,27,0,0
1873,,PH2,CHI02,1873-08-19,1873-08-19,1,0,0
1873,,PH2,PHI01,1873-05-01,1873-10-16,27,0,0
1873,,WS5,WAS01,1873-04-15,1873-10-23,18,0,0
1874,,BL1,BAL02,1874-04-22,1874-10-14,20,15,11100
1874,,BR2,NYC01,1874-05-05,1874-10-29,29,27,19800
1874,,BS1,BOS01,1874-05-02,1874-10-28,34,32,45300
1874,,BS1,WOR03,1874-10-30,1874-10-30,1,1,500
1874,,CH2,CHI02,1874-05-13,1874-10-10,28,28,75692
1874,,HR1,BOS01,1874-08-12,1874-08-12,1,1,500
1874,,HR1,HRT01,1874-05-01,1874-10-28,30,26,28355
1874,,NY2,NYC01,1874-05-06,1874-10-30,35,32,37600
1874,,PH1,PHI01,1874-04-16,1874-10-24,29,29,29600
1874,,PH2,PHI01,1874-05-04,1874-10-21,25,25,24050
1875,,BR2,NYC01,1875-05-05,1875-10-09,27,26,11324
1875,,BS1,BOS01,1875-04-19,1875-10-30,35,34,46030
1875,,BS1,PRO01,1875-06-22,1875-06-22,1,1,1400
1875,,BS1,SPR01,1875-05-14,1875-05-14,1,1,1600
1875,,CH2,CHI02,1875-05-15,1875-10-02,33,33,61155
1875,,HR1,HRT01,1875-04-24,1875-10-29,38,37,54524
1875,,HR1,PRO01,1875-06-12,1875-06-12,1,1,1200
1875,,KEO,KEO01,1875-05-04,1875-06-14,8,8,4277
1875,,NH1,NEW01,1875-04-26,1875-10-28,26,23,14404
1875,,NH1,NEW02,1875-04-21,1875-04-21,1,1,700
1875,,NY2,NYC01,1875-04-30,1875-10-29,36,36,29202
1875,,PH1,DOV01,1875-06-24,1875-06-24,1,0,0
1875,,PH1,PHI01,1875-04-22,1875-10-28,36,35,45353
1875,,PH1,PHI02,1875-06-04,1875-06-04,1,1,300
1875,,PH2,COV01,1875-09-21,1875-09-21,1,1,800
1875,,PH2,LUD01,1875-09-22,1875-09-22,1,1,500
1875,,PH2,PHI01,1875-04-26,1875-10-25,31,29,25229
1875,,PH3,PHI02,1875-04-21,1875-05-24,7,5,3300
1875,,SL1,STL01,1875-05-04,1875-07-04,14,14,5700
1875,,SL2,STL02,1875-05-06,1875-10-08,34,34,81028
1875,,WS6,BAL02,1875-06-01,1875-06-09,2,1,200
1875,,WS6,RIC01,1875-04-29,1875-05-01,2,2,2000
1875,,WS6,WAS01,1875-04-26,1875-06-08,8,7,8350
1876,NL,BSN,BOS01,1876-04-29,1876-10-21,36,0,0
1876,NL,CHN,CHI02,1876-05-10,1876-09-27,31,0,0
1876,NL,CN1,CIN02,1876-04-25,1876-10-09,30,0,0
1876,NL,HAR,HRT01,1876-05-01,1876-09-16,32,0,0
1876,NL,LS1,LOU01,1876-04-25,1876-10-05,33,0,0
1876,NL,NY3,NYC01,1876-04-25,1876-10-17,33,0,0
1876,NL,PHN,PHI01,1876-04-22,1876-09-16,35,0,0
1876,NL,SL3,STL02,1876-05-05,1876-10-04,30,0,0
1877,NL,BSN,BOS01,1877-06-02,1877-09-29,32,0,0
1877,NL,CHN,CHI02,1877-05-08,1877-10-06,29,0,0
1877,NL,CN1,CIN02,1877-05-14,1877-09-29,31,0,0
1877,NL,HAR,NEW01,1877-09-22,1877-09-22,1,0,0
1877,NL,HAR,NYC01,1877-04-30,1877-09-21,28,0,0
1877,NL,LS1,LOU01,1877-05-10,1877-09-29,29,0,0
1877,NL,SL3,STL02,1877-05-08,1877-10-06,30,0,0
1878,NL,BSN,BOS01,1878-05-04,1878-09-28,30,0,0
1878,NL,CHN,CHI03,1878-05-14,1878-09-14,35,0,0
1878,NL,CN1,CIN02,1878-05-01,1878-09-07,34,0,0
1878,NL,IN1,IND01,1878-05-01,1878-09-13,22,0,0
1878,NL,IN1,PIT01,1878-08-22,1878-08-24,3,0,0
1878,NL,IN1,STL02,1878-07-09,1878-07-13,3,0,0
1878,NL,ML2,MIL01,1878-05-14,1878-09-14,25,0,0
1878,NL,PRO,NYC01,1878-07-26,1878-07-26,1,0,0
1878,NL,PRO,PRO02,1878-05-01,1878-09-30,31,0,0
1879,NL,BFN,BUF01,1879-05-01,1879-09-30,40,0,0
1879,NL,BSN,BOS01,1879-05-28,1879-09-27,42,0,0
1879,NL,CHN,CHI03,1879-05-01,1879-08-26,43,0,0
1879,NL,CL2,CLE02,1879-05-01,1879-09-30,42,0,0
1879,NL,CN1,CIN02,1879-05-01,1879-08-27,37,0,0
1879,NL,PRO,PRO02,1879-05-28,1879-09-30,42,0,0
1879,NL,SR1,SYR01,1879-05-28,1879-09-10,34,0,0
1879,NL,TRN,TRO02,1879-05-28,1879-09-20,41,0,0
1880,NL,BFN,BUF01,1880-05-07,1880-09-16,43,0,0
