Property Code,Check-In,Check-Out,Type,Confirmation Code,Nights,Amount,Host Fee,Cleaning Fee,Cleaning Flag,Cleaning_Rate,Use,Rent,Market,Area,Neighborhood,Address,Bedrooms,Floor,Seasonality,SqFoot
Fourbed,6-Feb-15,8-Feb-15,Reservation,ERHCWM,2,"$1,067.00",33,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,13-Feb-15,15-Feb-15,Reservation,R2E2YQ,2,"$1,183.00",37,0,1,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,16-Feb-15,18-Feb-15,Reservation,Q49K4D,2,"$1,067.00",33,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,20-Feb-15,22-Feb-15,Reservation,FZ32RR,2,"$1,212.00",38,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,22-Feb-15,25-Feb-15,Reservation,KP8SPN,3,"$1,528.00",47,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,27-Feb-15,1-Mar-15,Reservation,A33MTB,2,"$1,067.00",33,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,2-Mar-15,4-Mar-15,Reservation,8S8H9M,2,"$1,164.00",36,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,4-Mar-15,6-Mar-15,Reservation,34FPDN,2,"$1,358.00",42,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,6-Mar-15,8-Mar-15,Reservation,KJDSXF,2,"$1,358.00",42,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,9-Mar-15,12-Mar-15,Reservation,AX2ZTR,3,"$1,673.00",52,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,12-Mar-15,15-Mar-15,Reservation,M5W5TQ,3,"$1,528.00",47,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,15-Mar-15,20-Mar-15,Reservation,H4HSNZ,5,"$2,449.00",76,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,20-Mar-15,23-Mar-15,Reservation,Z3F9ZB,3,"$1,528.00",47,150,0,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
Fourbed,27-Mar-15,30-Mar-15,Reservation,YHP5TW,3,"$1,528.00",47,0,1,150,1,7800,New York,Lower Manhattan,West Village,448 W 19th St PHA,4,7,Low,0
