,address,beds,list_url,price,sqft,zipcode,price/sqft,neighborhood,sub_area,area,bedrooms,max,min,median,mean,occ_yr%,revpar,yearly_revenue,yearly_cost,Rev_Diff
0,"230 W 56th St APT 69C, New York, NY 10019 ",,http://www.zillow.com/homedetails/230-W-56th-St-APT-69C-New-York-NY-10019/61966858_zpid/,10000,1551,10019,6.45,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,60000.0,-37979.55
1,"310 W 52nd St APT 5B, New York, NY 10019 ",,http://www.zillow.com/homedetails/310-W-52nd-St-APT-5B-New-York-NY-10019/80014537_zpid/,5750,976,10019,5.89,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,34500.0,-12479.55
2,"310 W 52nd St APT 24H, New York, NY 10019 ",,http://www.zillow.com/homedetails/310-W-52nd-St-APT-24H-New-York-NY-10019/80014839_zpid/,7800,1255,10019,6.22,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,46800.0,-24779.55
3,"308 W 49th St # 4RE, New York, NY 10019 ",,http://www.zillow.com/homedetails/308-W-49th-St-4RE-New-York-NY-10019/2096190564_zpid/,3000,800,10019,3.75,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,18000.0,4020.45
4,"308 W 49th St APT 3R, New York, NY 10019 ",,http://www.zillow.com/homedetails/308-W-49th-St-APT-3R-New-York-NY-10019/2097233047_zpid/,3200,800,10019,4.0,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,19200.0,2820.45
5,"58 W 58th St APT 3C, New York, NY 10019 ",,http://www.zillow.com/homedetails/58-W-58th-St-APT-3C-New-York-NY-10019/2132015993_zpid/,5799,1437,10019,4.04,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,34794.0,-12773.55
6,"58 W 58th St APT 11E, New York, NY 10019 ",,http://www.zillow.com/homedetails/58-W-58th-St-APT-11E-New-York-NY-10019/2098714962_zpid/,6000,1100,10019,5.45,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,36000.0,-13979.55
7,"150 W 51st St APT 807, New York, NY 10019 ",,http://www.zillow.com/homedetails/150-W-51st-St-APT-807-New-York-NY-10019/2121084044_zpid/,5500,700,10019,7.86,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,33000.0,-10979.55
8,"416 W 52nd St # 726, New York, NY 10019 ",,http://www.zillow.com/homedetails/416-W-52nd-St-726-New-York-NY-10019/2098025623_zpid/,6500,1010,10019,6.44,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,39000.0,-16979.55
9,"416 W 52nd St # 823, New York, NY 10019 ",,http://www.zillow.com/homedetails/416-W-52nd-St-823-New-York-NY-10019/2096737162_zpid/,6500,1068,10019,6.09,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,39000.0,-16979.55
10,"416 W 52nd St # 204, New York, NY 10019 ",,http://www.zillow.com/homedetails/416-W-52nd-St-204-New-York-NY-10019/2099659470_zpid/,6500,875,10019,7.43,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,39000.0,-16979.55
11,"416 W 52nd St # 604, New York, NY 10019 ",,http://www.zillow.com/homedetails/416-W-52nd-St-604-New-York-NY-10019/2096862826_zpid/,7250,891,10019,8.14,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,43500.0,-21479.55
12,"301 W 53rd St APT 11D, New York, NY 10019 ",,http://www.zillow.com/homedetails/301-W-53rd-St-APT-11D-New-York-NY-10019/2114248675_zpid/,4950,800,10019,6.19,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,29700.0,-7679.55
13,"301 W 53rd St APT 18F, New York, NY 10019 ",,http://www.zillow.com/homedetails/301-W-53rd-St-APT-18F-New-York-NY-10019/2114101305_zpid/,6138,1040,10019,5.9,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,36828.0,-14807.55
14,"301 W 53rd St APT 19E, New York, NY 10019 ",,http://www.zillow.com/homedetails/301-W-53rd-St-APT-19E-New-York-NY-10019/2097094219_zpid/,6200,1100,10019,5.64,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,37200.0,-15179.55
15,"301 W 53rd St APT 23E, New York, NY 10019 ",,http://www.zillow.com/homedetails/301-W-53rd-St-APT-23E-New-York-NY-10019/2121062977_zpid/,6300,1039,10019,6.06,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,37800.0,-15779.55
16,"301 W 53rd St # ABC, New York, NY 10019 ",,http://www.zillow.com/homedetails/301-W-53rd-St-ABC-New-York-NY-10019/2097033993_zpid/,7700,1100,10019,7.0,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,46200.0,-24179.55
17,"1 Central Park S # 910, New York, NY 10019 ",,http://www.zillow.com/homedetails/1-Central-Park-S-910-New-York-NY-10019/2096229745_zpid/,17000,1342,10019,12.67,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,102000.0,-79979.55
18,"300 W 49th St APT 502, New York, NY 10019 ",,http://www.zillow.com/homedetails/300-W-49th-St-APT-502-New-York-NY-10019/2104500605_zpid/,2600,740,10019,3.51,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,15600.0,6420.45
19,"308 W 49th St # 3RF, New York, NY 10019 ",,http://www.zillow.com/homedetails/308-W-49th-St-3RF-New-York-NY-10019/2096588070_zpid/,3300,793,10019,4.16,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,19800.0,2220.45
20,"150 W 51st St APT 1527N, New York, NY 10019 ",,http://www.zillow.com/homedetails/150-W-51st-St-APT-1527N-New-York-NY-10019/2099177360_zpid/,5000,752,10019,6.65,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,30000.0,-7979.55
21,"150 W 58th St PH E, New York, NY 10019 ",,http://www.zillow.com/homedetails/150-W-58th-St-PH-E-New-York-NY-10019/2124930018_zpid/,5925,1071,10019,5.53,Hell's Kitchen,Midtown,Manhattan,1,149.0,42.0,109.0,108.727670206,55.35,60.33,22020.45,35550.0,-13529.55
22,"155 Chambers St APT 4, New York, NY 10007 ",,http://www.zillow.com/homedetails/155-Chambers-St-APT-4-New-York-NY-10007/2124420330_zpid/,6300,1750,10007,3.6,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,37800.0,-13560.35
23,"100 Barclay St APT 17H, New York, NY 10007 ",,http://www.zillow.com/homedetails/100-Barclay-St-APT-17H-New-York-NY-10007/2096719023_zpid/,11750,1779,10007,6.6,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,70500.0,-46260.35
24,"200 Chambers St APT 19B, New York, NY 10007 ",,http://www.zillow.com/homedetails/200-Chambers-St-APT-19B-New-York-NY-10007/79978576_zpid/,7300,1260,10007,5.79,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,43800.0,-19560.35
25,"200 Chambers St APT 3B, New York, NY 10007 ",,http://www.zillow.com/homedetails/200-Chambers-St-APT-3B-New-York-NY-10007/80003816_zpid/,7500,1260,10007,5.95,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,45000.0,-20760.35
26,"200 Chambers St APT 21B, New York, NY 10007 ",,http://www.zillow.com/homedetails/200-Chambers-St-APT-21B-New-York-NY-10007/80009209_zpid/,7500,1260,10007,5.95,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,45000.0,-20760.35
27,"200 Chambers St APT 27E, New York, NY 10007 ",,http://www.zillow.com/homedetails/200-Chambers-St-APT-27E-New-York-NY-10007/80013729_zpid/,8750,1345,10007,6.51,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,52500.0,-28260.35
28,"200 Chambers St APT 28C, New York, NY 10007 ",,http://www.zillow.com/homedetails/200-Chambers-St-APT-28C-New-York-NY-10007/80014867_zpid/,10500,1534,10007,6.84,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,63000.0,-38760.35
29,"101 Warren St APT 2330, New York, NY 10007 ",,http://www.zillow.com/homedetails/101-Warren-St-APT-2330-New-York-NY-10007/89335531_zpid/,11000,1611,10007,6.83,Tribeca,Lower Manhattan,Manhattan,1,149.0,60.0,120.0,118.569620253,55.34,66.41,24239.65,66000.0,-41760.35
