,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Atlanta, GA",Centers for Disease Control and Prevention,ece367560a42bf9b,Health Scientist (Informatics),"$104,349 - $135,656 a year",54.0,63,1 day,2016-10-16 00:34:31.431672
1,"Atlanta, GA 30338",KPMG,53b7f855d4891e19,Data Scientist,,51.0,1768,1 day,2016-10-16 00:34:31.431672
2,"Atlanta, GA 30339",ASSURANT,9ecd8095dd0355f8,Data Scientist,,43.2,1107,9 days,2016-10-16 00:34:31.431672
3,"Atlanta, GA",Ga. Dept. of Admin. Services,134c301ec3ba87c4,Statistical Data Analyst,,,,4 days,2016-10-16 00:34:31.431672
4,"Atlanta, GA 30306 (Virginia-Highland area)",360i,c2b6dcbcb0895072,Associate Data Scientist,,51.0,9,10 days,2016-10-16 00:34:31.431672
5,"Atlanta, GA 30339",ASSURANT,ed7467a761020f51,Sr Data Scientist - Fraud,,43.2,1107,14 hours,2016-10-16 00:34:31.431672
6,"Atlanta, GA",Centers for Disease Control and Prevention,40d8215afa28f4bb,HEALTH SCIENTIST,"$88,305 - $114,802 a year",54.0,63,20 hours,2016-10-16 00:34:31.431672
7,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,24cec20de39398ca,Senior Data Scientist,,40.2,31,8 days,2016-10-16 00:34:31.431672
8,"Atlanta, GA",Honeywell,9b253c3eeae5f37a,Analytics Data Scientist,,44.4,3473,9 days,2016-10-16 00:34:31.431672
9,"Atlanta, GA 30338",KPMG,564598809d60ebbc,"Data Scientist, Natural Language Processing",,51.0,1768,1 day,2016-10-16 00:34:31.431672
10,"Atlanta, GA",Kabbage,6e3ccea1c8472429,Data Scientist,,,,30+ days,2016-10-16 00:34:31.431672
11,"Atlanta, GA 30318 (Rockdale area)",Georgia Tech Research Institute,0b18bd331be1a5ca,Machine Learning-Data Science Computer Vision Researcher ATA...,,52.800003,255,10 days,2016-10-16 00:34:31.431672
12,"Atlanta, GA",Travelport,bfa076e5d7e77ef6,Data Scientist,,51.6,52,29 days,2016-10-16 00:34:31.431672
13,"Dunwoody, GA",State Farm Mutual Automobile Insurance Company,54d7604c389790bd,Data Scientist,,51.0,3358,28 days,2016-10-16 00:34:31.431672
14,"Atlanta, GA 30306 (Virginia-Highland area)",360i,abb5e77d57d05bfb,Sr Data Scientist,,51.0,9,18 days,2016-10-16 00:34:31.431672
15,"Atlanta, GA",State Farm Mutual Automobile Insurance Company,594e039f37d4ec5d,Research Statistician,,51.0,3358,2 days,2016-10-16 00:34:31.431672
16,"Atlanta, GA",Honeywell,3ab193931df8ad50,"Sr Data Scientist - Atlanta, GA",,44.4,3473,23 days,2016-10-16 00:34:31.431672
17,"Atlanta, GA",SunTrust,16b342fb19d2cf92,"Consumer Banking Data Scientist - Atlanta, GA",,42.6,2101,30+ days,2016-10-16 00:34:31.431672
18,"Atlanta, GA",Bastille,f5d182f58df6fd06,Data Scientist,,,,30+ days,2016-10-16 00:34:31.431672
19,"Atlanta, GA",Strive Consulting LLC,dedd076d3befa2ae,Mid/Sr Data Scientist,,,,5 days,2016-10-16 00:34:31.431672
20,"Atlanta, GA",Cox Automotive,4dd0428a36b610d7,Data Scientist,,40.8,42,11 days,2016-10-16 00:34:31.431672
21,"Atlanta, GA 30318 (Rockdale area)",McKinsey & Company,17146a30a3242856,Senior Personnel Data Scientist/Analyst,,52.800003,169,30+ days,2016-10-16 00:34:31.431672
22,"Atlanta, GA 30309 (Midtown area)",HD Supply,5e4122b4e399341b,Data Scientist,,42.0,489,30+ days,2016-10-16 00:34:31.431672
23,"Atlanta, GA",Honeywell,78f1a9a1e62191ef,"Principal Data Scientist - Atlanta, GA",,44.4,3473,23 days,2016-10-16 00:34:31.431672
24,"Atlanta, GA",Home Depot,07d2ec530def558d,DATA SCIENTIST,,43.8,20589,28 days,2016-10-16 00:34:31.431672
