,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Los Angeles, CA",Rubicon Project,0fe55b4ede076bfd,Data Scientist (All Levels),,41.4,7,1 day,2016-10-16 00:29:05.084612
1,"Long Beach, CA",CareSource,81d0cd698497fe55,Statistical Analyst,,42.6,69,1 day,2016-10-16 00:29:05.084612
2,"West Hollywood, CA",Homee,98efd86e16e93496,Data Scientist,,,,9 days,2016-10-16 00:29:05.084612
3,"Los Angeles, CA",Snap Inc.,93d291c0930f2bc3,"Data Scientist, Product Analytics",,,,21 days,2016-10-16 00:29:05.084612
4,"Pasadena, CA",LaBine and Associates,a9ed0d7467c5d2c9,Data Scientist,,,,9 days,2016-10-16 00:29:05.084612
5,"Redondo Beach, CA 90278",Northrop Grumman,73d1fcb59ce3fa6d,Data Scientist 3/4,,51.0,2124,2 days,2016-10-16 00:29:05.084612
6,"Los Angeles, CA",UCLA Health,c278ac48cb1c1ce9,Statistical Researcher,,42.0,23,16 days,2016-10-16 00:29:05.084612
7,"Beverly Hills, CA",Park computer systems,7d3e03ecad46c3d1,Senior Data Analytics,,,,4 days,2016-10-16 00:29:05.084612
8,"Santa Monica, CA 90404","Cornerstone OnDemand, Inc.",ec2ed16e354e976c,"Software Engineer, Machine Learning",,52.199997,15,2 days,2016-10-16 00:29:05.084612
9,"Los Angeles, CA",University of Southern California,8bc7b648e63cd218,Statistician I,,52.199997,355,3 days,2016-10-16 00:29:05.084612
10,"Los Angeles, CA",University of Southern California,ed7a6ced5445b502,BERD Statistician,,52.199997,355,4 days,2016-10-16 00:29:05.084612
11,"Los Angeles, CA",Riot Games,227e4ffcf91bddf6,Insights Analyst Intern (Grad),,51.6,8,9 days,2016-10-16 00:29:05.084612
12,"Los Angeles, CA 90028",ZestFinance,5889920772bcab5c,"Director, Data Science",,51.0,2,11 days,2016-10-16 00:29:05.084612
13,"Santa Monica, CA",Amazon Corporate LLC,d879690b4c698d4a,Data Scientist III - Amazon Studios - Santa Monica,,43.2,9607,29 days,2016-10-16 00:29:05.084612
14,"Woodland Hills, CA 91367",Intuit,7a78e60d1dd821e5,Data Scientist,,52.199997,466,8 days,2016-10-16 00:29:05.084612
15,"Los Angeles, CA",tronc,04dd780ba9745f50,Data Engineer,,,,8 days,2016-10-16 00:29:05.084612
16,"Los Angeles, CA 90028",ZestFinance,1280ea3c97d8d6b3,"Manager, Machine Learning Modeler / Data Scientist",,51.0,2,3 days,2016-10-16 00:29:05.084612
17,"Pasadena, CA",Jet Propulsion Laboratory,2f3791d561fa96ea,Data Visualization Developer I,,52.199997,53,2 days,2016-10-16 00:29:05.084612
18,"Santa Monica, CA",Edmunds.com,1efe6a60e08db9ac,Data Analyst/Data Scientist,,43.8,10,20 days,2016-10-16 00:29:05.084612
19,"Santa Monica, CA",WELLS FARGO BANK,a2288d9fa2447a6b,Analytic Consultant 1 (Data and Research Analyst),,43.8,13887,2 days,2016-10-16 00:29:05.084612
20,"Pasadena, CA",3M,78ce546b08d147ba,"Biometric Research Scientist* (Pasadena, CA) Job",,51.6,1413,22 hours,2016-10-16 00:29:05.084612
21,"Los Angeles, CA",The Boston Consulting Group,1f7fec3f67708b03,Data Scientist,,52.199997,58,30+ days,2016-10-16 00:29:05.084612
22,"Los Angeles, CA",The Boston Consulting Group,89f9ff617a1ae058,"Data Scientist, Operations",,52.199997,58,30+ days,2016-10-16 00:29:05.084612
23,"Playa Vista, CA",Fullscreen,db57d7e793279b17,"Backend Software Engineer, Data Science Team",,51.6,9,1 day,2016-10-16 00:29:05.084612
24,"Los Angeles, CA",GUESS?. Inc.,f65192f505e75039,CRM Data Scientist,,43.8,963,30+ days,2016-10-16 00:29:05.084612
25,"Santa Monica, CA",AirMap,0fc25f1e04ff6310,Data Scientist,,,,30+ days,2016-10-16 00:29:05.084612
26,"Burbank, CA",Warner Bros. Entertainment Group,9dd164ef6fc45eeb,Senior Data Visualization Engineer,,52.800003,152,8 days,2016-10-16 00:29:05.084612
27,"Los Angeles, CA 90005",Kites Consulting,ca2c27535b1c9761,Data Scientist - CA,,,,30+ days,2016-10-16 00:29:05.084612
28,"El Segundo, CA 90245",The Aerospace Corporation,1b6c3d37ddd60bc7,Entry Level - Software Research Engineer - Temporary,,52.199997,46,9 days,2016-10-16 00:29:05.084612
29,"Westwood, CA",Ronald Reagan UCLA Medical Center,f872e663ac0c3956,Principal Statistician,,53.4,23,2 days,2016-10-16 00:29:05.084612
30,"Los Angeles, CA",Camino Financial,291faaef956e1882,Data Scientist position at a vc-funded financial services co...,,,,27 days,2016-10-16 00:29:05.084612
31,"Culver City, CA",GOAT,d5dc49d2b85c5329,Data Scientist,,,,30+ days,2016-10-16 00:29:05.084612
32,"Los Angeles, CA",CrowdStrike,486692d4f70d90b1,Data Engineer,,,,26 days,2016-10-16 00:29:05.084612
33,"Pasadena, CA 91125",Mindports,96647bfc69ed2cec,Data Scientist (Contract w potential for rapid liquidity),,,,30+ days,2016-10-16 00:29:05.084612
34,"Los Angeles, CA",Deloitte,c9df6a84ea82e646,Big Data Senior Consultant,,51.0,3464,29 days,2016-10-16 00:29:05.084612
35,"Los Angeles, CA",The Honest Company,5aa36a39ddd17823,Data Scientist,,52.800003,7,30+ days,2016-10-16 00:29:05.084612
36,"Los Angeles, CA",Riot Games,f42e6fbdbd8e37ba,Data Scientist - Machine Learning Platform,,51.6,8,30+ days,2016-10-16 00:29:05.084612
