,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Washington, DC",LivingSocial,e96b19140804b7b4,Data Scientist,,42.6,132,1 day,2016-10-16 00:30:23.897629
1,"Washington, DC",CareSource,988e48a6902720e9,Statistical Data Mining Analyst/Cognos,,42.6,69,1 day,2016-10-16 00:30:23.897629
2,"Washington, DC",CareSource,7f63b10ab935d496,Data Analysis Associate,,42.6,69,1 day,2016-10-16 00:30:23.897629
3,"Washington, DC 20007 (Georgetown area)",Sephora,9e78fc3cd6c7ba4c,Predictive Modeling Analyst,,51.0,1269,22 hours,2016-10-16 00:30:23.897629
4,"Washington, DC",The Advisory Board Company,e9b321b7b39c2cf5,Data Scientist,,42.6,69,2 days,2016-10-16 00:30:23.897629
5,"Washington, DC",Capgemini Government Solutions,ac11dc750c408fe6,Data Wrangler / Data Scientist,,43.8,2000,2 days,2016-10-16 00:30:23.897629
6,"McLean, VA","Cognosante, LLC",60ddc4b758eee836,Data Scientist,,44.4,14,1 hour,2016-10-16 00:30:23.897629
7,"Washington, DC",Clearsoft Inc.,d5e82dfc3b7a0302,Data Scientist,,,,4 days,2016-10-16 00:30:23.897629
8,"Washington, DC 20036 (Downtown area)",KPMG,12320fb4639cedc3,Data Scientist,,51.0,1768,1 day,2016-10-16 00:30:23.897629
9,"Washington, DC 20036 (Downtown area)",Nexant,fa07dc479eb2b103,Project Analyst I (Quantitative/Statistical),,41.4,20,2 days,2016-10-16 00:30:23.897629
10,"Washington, DC",Booz Allen Hamilton,9fe2cf2a269f2450,Data Scientist,,44.4,945,10 days,2016-10-16 00:30:23.897629
11,"Silver Spring, MD 20904",Verizon,98cb008f2c5788bd,Data Scientist,,44.4,11109,17 days,2016-10-16 00:30:23.897629
12,"Washington, DC",ISPA Technology,97e307cadea01e59,Data Scientist,,,,15 days,2016-10-16 00:30:23.897629
13,"Washington, DC 20005 (Logan Circle area)",IBM,61742041c602a07b,Advanced Analytics Data Scientist,,51.0,12110,30 days,2016-10-16 00:30:23.897629
14,"Washington, DC",Labcorp,f24715b9edcce394,Statistical Data Mining Analyst/Cognos,,43.2,1700,22 hours,2016-10-16 00:30:23.897629
15,"Bethesda, MD 20813",Leidos,2e8aebe8a1e9a8c0,Data Scientist,,43.8,187,3 days,2016-10-16 00:30:23.897629
